Date,Sentiment,Value,yest
12/12/2014,-1,109.73,111.62
12/11/2014,0,111.62,111.95
12/10/2014,0,111.95,114.12
12/9/2014,1,114.12,112.4
12/8/2014,1,112.4,115
12/5/2014,-1,115,115.49
12/4/2014,1,115.49,115.93
12/3/2014,-1,115.93,114.63
12/2/2014,1,114.63,115.07
12/1/2014,0,115.07,118.93
11/28/2014,1,118.93,119
11/26/2014,1,119,117.6
11/25/2014,1,117.6,118.62
11/24/2014,1,118.62,116.47
11/21/2014,0,116.47,116.31
11/20/2014,-1,116.31,114.67
11/19/2014,-1,114.67,115.47
11/18/2014,1,115.47,113.99
11/17/2014,1,113.99,114.18
11/14/2014,-1,114.18,112.82
11/13/2014,1,112.82,111.25
11/12/2014,1,111.25,109.7
11/11/2014,0,109.7,108.83
11/11/2014,1,108.83,109.01
11/7/2014,0,109.01,108.7
11/6/2014,1,108.7,108.86
11/5/2014,0,108.86,108.6
11/4/2014,1,108.6,109.4
11/3/2014,1,109.4,108
10/31/2014,0,108,106.98
10/30/2014,1,106.98,107.34
10/29/2014,1,107.34,106.74
10/28/2014,1,106.74,105.11
10/27/2014,-1,105.11,105.22
10/24/2014,1,105.22,104.83
10/23/2014,0,104.83,102.99
10/22/2014,1,102.99,102.47
10/21/2014,1,102.47,99.76
10/20/2014,1,99.76,97.67
10/17/2014,1,97.67,96.26
10/16/2014,1,96.26,97.54
10/15/2014,0,97.54,98.75
10/14/2014,0,98.75,99.81
10/13/2014,0,99.81,100.73
10/10/2014,1,100.73,101.02
10/9/2014,1,101.02,100.8
10/8/2014,1,100.8,98.75
10/7/2014,-1,98.75,99.62
10/6/2014,-1,99.62,99.62
10/3/2014,1,99.62,99.9
10/2/2014,1,99.9,99.18
10/1/2014,0,99.18,99.18
